Opt. Const. of Au vs. nm,,
nm,n,k
206.6,1.422,1.306
210.1,1.43,1.334
213.8,1.432,1.364
217.5,1.438,1.388
221.4,1.442,1.418
225.4,1.452,1.442
229.6,1.454,1.478
233.9,1.462,1.51
238.4,1.47,1.55
243.1,1.478,1.59
248.0,1.484,1.636
253.0,1.49,1.698
258.3,1.504,1.748
263.8,1.546,1.784
269.5,1.598,1.822
275.5,1.648,1.852
281.8,1.69,1.882
288.3,1.742,1.9
295.2,1.776,1.918
302.4,1.812,1.92
310.0,1.83,1.916
317.9,1.84,1.904
326.3,1.824,1.878
335.1,1.798,1.86
344.4,1.766,1.846
354.2,1.74,1.848
364.7,1.716,1.862
375.7,1.696,1.906
387.5,1.674,1.936
400.0,1.658,1.956
413.3,1.636,1.958
427.5,1.616,1.94
442.8,1.562,1.904
459.2,1.426,1.846
476.9,1.242,1.796
495.9,0.916,1.84
516.6,0.608,2.12
539.1,0.402,2.54
563.6,0.306,2.88
652.6,0.166,3.15
688.8,0.16,3.8
729.3,0.164,4.35
774.9,0.174,4.86
826.6,0.188,5.39
885.6,0.21,5.88
953.7,0.236,6.47
1033.0,0.272,7.07
1127.0,0.312,7.93
1240.0,0.372,8.77
1265.0,0.389,8.09
1291.0,0.403,8.25
1319.0,0.419,8.42
1384.0,0.436,8.59
1378.0,0.454,8.77
1409.0,0.473,8.96
1442.0,0.493,9.15
1476.0,0.515,9.36
1512.0,0.537,9.58
1550.0,0.559,9.81
1590.0,0.583,10.1
1631.0,0.609,10.3
1675.0,0.636,10.6
1722.0,0.665,10.9
1771.0,0.696,11.2
1823.0,0.73,11.5
